Feedback,Sentiment Label,Ratings,Sentiment
"['i', 'wa', 'have', 'menopaus', 'relat', 'issu', 'and', 'went', 'to', 'see', 'a', 'gynecologist']",1,5,0.0
"['i', 'realli', 'like', 'the', 'servic', 'there']",1,5,0.0
"['thank', 'to', 'the', 'emerg', 'doctor', 'abhishek', 'and', 'thank', 'to', 'the', 'secur', 'guard', 'there']",1,4,0.0
"['say', 'hello', 'with', 'fold', 'handsand', 'take', 'the', 'patient', 'sit', 'in', 'the', 'wheel', 'chair', '']",1,5,0.0
"['i', 'notic', 'the', 'price', 'there', 'is', 'a', 'bit', 'high', 'but', 'the', 'treatment', 'is', 'veri', 'good', 'and', 'the', 'behavior', 'of', 'the', 'doctor', 'is', 'also', 'veri', 'goodso', 'i', 'dont', 'think', 'such', 'a', 'hospit', 'is', 'anywher', 'near', 'hr', 'layout']",1,4,0.24
"['good', 'experi', 'polit', 'staff', 'and', 'time', 'servic', 'well', 'organ', 'and', 'hygien']",1,5,0.7
"['a', 'veri', 'nice', 'experi', 'dure', 'our', 'stay', 'and', 'treatment', 'in', 'the', 'forti', 'hospit', 'from', '2772023', 'to', '382023', 'we', 'felt', 'like', 'stay', 'in', 'our', 'own', 'home', 'drrajkumar', 'deshpand', 'and', 'hi', 'team', 'done', 'the', 'c1', 'c2', 'surgic', 'spine', 'replac', 'under', 'o', 'arm', 'machin', 'success', 'doctor', 'and', 'other', 'support', 'staff', 'for', 'their', 'wonder', 'servic']",1,5,0.34375
"['highli', 'experienc', 'doctor', 'their', 'analysi', 'interact', 'and', 'treatment', 'are', 'excel']",1,5,0.0
"['the', 'room', 'are', 'veri', 'neat', 'and', 'clean', 'veri', 'good', 'hous', 'keep']",1,4,0.5333333333333333
"['the', 'staff', 'nurs', 'are', 'down', 'to', 'earth', 'their', 'care', 'and', 'hospit', 'is', 'highli', 'appreci']",1,5,-0.15555555555555559
"['overal', 'the', 'servic', 'from', 'admiss', 'till', 'discharg', 'is', 'excel']",1,5,0.0
"['we', 'love', 'the', 'hospit', 'of', 'the', 'staff', 'member', 'and', 'doctor', 'they', 'are', 'so', 'hardwork', 'and', 'put', 'effort', 'to', 'ensur', 'good', 'health', 'and', 'safeti', 'of', 'the', 'patient', 'dr', 'gayathri', 'is', 'an', 'excel', 'doctor', 'who', 'also', 'provid', 'you', 'guidanc', 'and', 'emot', 'support']",1,5,0.6
"['the', 'hospit', 'servic', 'ha', 'been', 'realli', 'good', 'the', 'patient', 'ha', 'been', 'taken', 'good', 'care', 'overal', 'right', 'from', 'the', 'consult', 'until', 'the', 'discharg', 'everyth', 'is', 'seamless', 'and', 'hassl', 'free', 'we', 'went', 'with', 'the', 'insur', 'and', 'the', 'process', 'time', 'wa', 'quick']",1,5,0.41984126984126985
"['dr', 'sashidhara', 'cardiologist', 'took', 'everi', 'effort', 'to', 'diagnos', 'the', 'problem', 'and', 'suggest', 'for', 'the', 'bypass', 'and', 'later', 'the', 'surgeon']",1,5,0.0
"['dr', 'murali', 'manohar', 'took', 'care', 'of', 'the', 'oper', 'with', 'great', 'confid', 'overal', 'it', 'wa', 'a', 'good', 'experi', 'throughout']",1,5,0.75
"['everyth', 'is', 'well', 'organis', 'with', 'the', 'variou', 'room', 'for', 'photo', 'blood', 'test', 'xray', 'main', 'doctor', 'consult', 'etc', 'all', 'situat', 'around', 'the', 'huge', 'wait', 'room', 'with', 'the', 'sequenc', 'you', 'have', 'to', 'follow', 'commun', 'to', 'you', 'at', 'the', 'bill', 'counter']",1,4,0.2833333333333334
"['card', 'payment', 'is', 'accept']",1,5,0.0
"['while', 'the', 'cost', 'of', 'the', 'test', 'is', 'perhap', 'just', 'a', 'tad', 'bit', 'more', 'than', 'the', 'other', 'option', 'elbit', 'diagnost', 'the', 'conveni', 'and', 'servic', 'more', 'than', 'make', 'up', 'for', 'it']",1,3,0.2916666666666667
"['while', 'prior', 'appoint', 'book', 'is', 'not', 'requir', 'you', 'are', 'advis', 'to', 'call', 'befor', 'come', 'becaus', 'the', 'form', 'for', 'some', 'countri', 'have', 'to', 'be', 'print', 'and', 'brought', 'along', 'with', 'you', 'while', 'other', 'are', 'avail', 'there']",1,3,-0.0625
"['the', 'place', 'can', 'get', 'quit', 'crowd', 'so', 'if', 'you', 'wish', 'to', 'get', 'done', 'with', 'all', 'formal', 'within', '152', 'hour', 'it', 'is', 'better', 'to', 'reach', 'there', 'befor', '830am', 'when', 'the', 'bill', 'counter', 'open', 'dont', 'forget', 'to', 'pick', 'out', 'a', 'token', 'from', 'the', 'machin', 'near', 'the', 'counter']",1,3,0.19999999999999998
"['we', 'are', 'realli', 'satisfi', 'with', 'the', 'servic', 'from', 'forti', 'there', 'is', 'no', 'neg', 'point', 'about', 'thi', 'hospit', 'well', 'maintain', 'and', 'veri', 'systemat', 'the', 'best', 'part', 'is', 'your', 'time', 'will', 'not', 'be', 'wast', 'even', 'for', '1', 'min', 'thank', 'for', 'the', 'doctor', 'and', 'all', 'other', 'worker']",1,5,0.4375
"['had', 'an', 'emerg', 'visit', 'to', 'the', 'hospit', 'with', 'my', 'father', 'who', 'wa', 'hospitalis', 'for', 'a', 'coupl', 'of', 'day', 'due', 'to', 'a', 'surgeri', 'the', 'doctor', 'and', 'staff', 'of', 'the', 'hospit', 'took', 'utmost', 'care', 'the', 'best', 'part', 'of', 'the', 'hospit', 'is', 'that', 'the', 'team', 'follow', 'it', 'process', 'and', 'protocol', 'so', 'well']",1,4,0.4375
"['we', 'had', 'a', 'great', 'experi', 'with', 'the', 'hospit']",1,5,0.8
"['drjawali', 'and', 'hi', 'team', 'were', 'veri', 'impress', 'not', 'onli', 'for', 'the', 'surgeri', 'and', 'procedur', 'but', 'also', 'post', 'oper', 'follow', 'up', 'with', 'the', 'patient', 'and', 'ensur', 'he', 'wa', 'feel', 'absolut']",1,5,0.0
"['i', 'would', 'also', 'thank', 'the', 'icu', 'nurs', 'and', 'the', 'ward', 'nurs', 'and', 'all', 'the', 'differ', 'dr’', 'who', 'were', 'involv', 'in', 'ensur', 'my', 'father', 'recov', 'thank', 'you', 'so', 'much', '']",1,5,0.2
"['great', 'care', 'taken', 'by', 'the', 'staff', 'and', 'hospit', '', 'special', 'mention', 'of', 'dr', 'vivek', 'padeg', 'and', 'dr', 'ashish', 'parekh', 'thank', 'to', 'energet', 'and', 'charm', 'nurs', 'ms', 'jacquelin', 'for', 'special', 'care', 'taken', 'while', 'treatment', '']",1,4,0.5047619047619049
"['dr', 'ravindra', 'and', 'team', 'wa', 'excel']",1,5,0.0
"['treatment', 'given', 'to', 'the', 'partient', 'wa', 'impecc', 'all', 'the', 'staff', 'are', 'much', 'recogn', 'for', 'their', 'dedic', 'and', 'kind', 'given', 'to', 'the', 'patient', 'throughout']",1,5,0.4
"['immens', 'gratitud', 'to', 'all', 'the', 'forti', 'team', 'for', 'ensur', 'my', 'wellb', 'ensur', 'comfort', 'and', 'fast', 'recoveri']",1,4,0.2
"['thank', 'you', 'onc', 'again', 'for', 'your', 'outstand', 'servic', 'and', 'commit', 'toward', 'excel', 'each', 'one', 'role', 'and', 'effort', 'are', 'much', 'appreci']",1,5,0.2
"['dr', 'narayan', 'huls', 'is', 'an', 'amaz', 'doctor', 'nurs', 'are', 'also', 'veri', 'humbl', 'and', 'care']",1,5,0.0
"['midnight', 'also', 'they', 'are', 'veri', 'quick', 'and', 'activ', 'they', 'are', 'present', 'near', 'the', 'patient', 'whenev', 'need']",1,5,0.14444444444444446
"['food', 'servic', 'is', 'also', 'veri', 'good', 'housekeep', 'are', 'do', 'their', 'job', 'effici', 'the', 'hospit', 'is', 'veri', 'clean']",1,5,0.5333333333333333
"['my', 'cosist', '81', 'had', 'a', 'knee', 'replac', 'dure', 'covid', 'post', 'surgeri', 'had', 'complic', 'pain', 'did', 'not', 'subsid', 'she', 'becam', 'total', 'bedridden']",1,4,0.0
"['we', 'met', 'dr', 'narayan', 'huls', 'at', 'forti', 'for', 'hi', 'opinion', 'he', 'gave', 'us', '100', 'assur', 'and', 'oper', 'her']",1,5,0.0
"['she', 'walk', 'now', 'independ', 'of', 'cours', 'with', 'walker', 'she', 'is', 'ever', 'grate', 'to', 'him', 'thank', 'a', 'ton', 'doctor', 'for', 'give', 'her', 'anoth', 'life']",1,5,0.0
"['they', 'book', 'more', 'appoint', 'than', 'capac', 'my', 'wife', 'went', 'for', 'checkup', 'in', 'forti', 'and', 'my', 'friend', 'went', 'to', 'hiranandani', 'in', 'mumbai', 'start', 'same', 'time', 'at', '8', 'am', 'today', 'friend', 'finish', 'the', 'process', 'by', '1130', 'wife', 'finish', 'at', '4', 'pm', 'avoid', 'for', 'master', 'health', 'checkup']",1,3,0.25
"['dont', 'go', 'buy', 'name', 'of', 'the', 'hospit']",0,1,0.0
"['worst', 'experi', 'when', 'we', 'went', 'for', 'the', 'full', 'bodi', 'health', 'checkup']",0,2,-0.325
"['they', 'do', 'not', 'care', 'onli', 'thing', 'they', 'care', 'is', 'money', 'onc', 'money', 'is', 'in', 'their', 'bank', 'account', 'you', 'are', 'on', 'your', 'own']",0,2,0.6
"['the', 'staff', 'for', 'health', 'checkup', 'is', 'worst', 'and', 'doesnt', 'know', 'how', 'to', 'manag', 'peopl', 'and', 'give', 'proper', 'guidanc']",0,1,-0.5
"['if', 'you', 'say', 'you', 'do', 'not', 'have', 'ani', 'visibl', 'issu', 'they', 'will', 'finish', 'the', 'examin', 'in', 'less', 'than', 'a', 'minut', 'and', 'send', 'you', 'out', 'to', 'serv', 'next', 'custom']",0,1,-0.08333333333333333
"['poor', 'servic', 'disorgan', 'no', 'valu', 'for', 'peopl', 'time', 'and', 'overpr']",0,2,-0.4
"['after', 'charg', 'a', 'bomb', 'to', 'the', 'patient', 'they', 'have', 'no', 'system', 'in', 'place']",0,1,0.0
"['book', 'an', 'appoint', 'is', 'a', 'joke', 'as', 'you', 'can', 'never', 'get', 'thing', 'done', 'as', 'per', 'the', 'appoint', 'time']",0,2,0.0
"['they', 'expect', 'peopl', 'to', 'be', 'unemploy', 'or', 'on', 'indefinit', 'leav', 'while', 'visit', 'their', 'hospit', 'for', 'treatment']",0,2,0.0
"['the', 'road', 'outsid', 'the', 'hospit', 'is', 'full', 'of', 'garbag', 'and', 'dirti', 'pothol', 'the', 'hospit', 'administr', 'should', 'take', 'some', 'respons', 'to', 'make', 'it', 'walkabl', 'for', 'patient', 'and', 'their', 'famili']",0,1,0.35
"['i', 'took', 'a', 'comprehens', 'health', 'check', 'up', 'packag', 'here', 'with', 'an', 'appoint', 'date', 'and', 'time', 'the', 'total', 'durat', 'we', 'were', 'suppos', 'to', 'wait', 'wa', 'around', '56', 'hour']",0,2,0.0
"['id', 'suggest', 'just', 'dont', 'go', 'by', 'name', 'there', 'are', 'lot', 'of', 'local', 'lab', 'who', 'provid', 'much', 'better', 'servic', 'in', 'less', 'fee', 'truli', 'horribl', 'and', 'unexpect', 'experi', 'at', 'forti']",1,3,0.11111111111111112
"['my', 'heartfelt', 'plea', 'for', 'better', 'patient', 'care', 'a', 'harrow', 'experi', 'at', 'forti', 'hospit']",0,1,0.25
"['pleas', 'display', 'few', 'board', 'in', 'the', 'entranc', 'of', 'the', 'hospit', 'and', 'also', 'in', 'the', 'emerg', 'depart']",1,3,-0.2
"['state', 'thi', 'hospit', 'is', 'not', 'for', 'middl', 'class', 'peopl']",1,3,0.0
"['nice', 'hospit', 'and', 'doctor', 'also', 'good', 'and', 'they', 'take', 'care', 'patienc', 'supereventh', 'is', 'super', 'in', 'the', 'hospit', '🎉', '…']",1,5,0.5444444444444444
"['veri', 'good', 'hospit', 'and', 'careexcel', 'servic', 'happi', 'with', 'forti']",1,5,0.7
"['dr', 'harsha', 'ha', 'provid', 'amaz', 'treatment', 'the', 'night', 'shift', 'nurs', 'are', 'help', 'overal', 'manag', 'wa', 'veri', 'good']",1,4,0.7
"['must', 'visit', 'for', 'dr', 'suresh', 'babu', 'for', 'chemotherapi']",1,3,0.0
"['dr', 'gayathri', 'kamath', 'is', 'a', 'veri', 'good', 'doctorveri', 'reliabl', 'who', 'you', 'can', 'believ', 'in', 'veri', 'good', 'servic', 'at', 'fortissh', 'made', 'all', 'my', 'pregnanc', 'complic', 'noth', 'make', 'it', 'smooth', 'and', 'help', 'me', 'get', 'recov', 'much', 'faster']",1,5,0.49999999999999994
"['drvivek', 'belatur', 'treatment', 'is', 'super', '', 'chemotherapi', 'treatment', 'went', 'well', 'and', 'smooth', '', 'happi', 'with', 'forti', 'and', 'it', 'servic']",1,4,0.3666666666666667
"['my', 'father', 'ha', 'been', 'treat', 'under', 'supervis', 'of', 'dr', 'adil', 'hasaan', 'and', 'dr', 'suresh', 'babu', 'sir']",1,5,0.0
"['the', 'servic', 'provid', 'here', 'is', 'good', 'with', 'veri', 'profession', 'and', 'friendli', 'staff', 'doctor', 'were', 'veri', 'profession', 'experienc', 'and', 'respons']",1,5,0.7
"['special', 'thank', 'to', 'kavita', 'for', 'all', 'the', 'guidanc', 'and', 'support', 'she', 'had', 'provid', 'us', 'so', 'far']",1,4,0.2285714285714286
"['veri', 'crowdi', 'and', 'excess', 'long', 'queue', 'tri', 'to', 'avoid', 'and', 'be', 'happy😊😊', '…']",1,5,-0.05
"['such', 'a', 'worst', 'staff', 'in', 'thi', 'hospit']",0,1,-0.5
"['they', 'are', 'charg', 'too', 'much', 'for', 'small', 'thing', 'n', 'most', 'import', 'thing', 'is', 'unka', 'secur', 'staff', 'jo', 'apko', 'hospit', 'staff', 'se', 'jyada', 'enquiri', 'kart', 'hai', 'n', 'too', 'much', 'rude', 'behaviour', 'like', 'a', 'roadsid', 'loafer']",0,1,0.037500000000000006
"['the', 'overal', 'dignosi', 'treantment', 'plan', 'and', 'post', 'opp', 'receveri', 'manag', 'wa', 'super', 'excel', 'and', 'have', 'a', 'complet', 'recoveri', 'without', 'ani', 'post', 'opp', 'complic', 'despit', 'have', 'complex', 'health', 'condit', 'prior', 'to', 'the', 'surgeri']",1,5,0.011111111111111108
"['the', 'entir', 'doctor', 'team', 'dr', 'gayathri', 'from', 'gynaecolog', 'dr', 'sharath', 'chandra', 'from', 'surgeri', 'and', 'dr', 'sudha', 'from', 'intern', 'medicin', 'dr', 'shwetha', 'from', 'gynaecolog', 'and', 'the', 'nurs', 'staff', 'have', 'given', 'the', 'best', 'treatment', 'and', 'excel', 'psycholog', 'support', 'to', 'us']",1,4,1.0
"['they', 'were', 'with', 'us', 'each', 'and', 'everi', 'stage', 'plan', 'the', 'best', 'treatment', 'for', 'me', 'and', 'also', 'give', 'confid', 'and', 'mental', 'support', 'that', 'we', 'felt', 'home']",1,5,0.45
"['thi', 'team', 'of', 'doctor', 'wa', 'veri', 'friendli', 'approach', 'servic', 'orient', 'and', 'selfless', 'servic', 'and', 'extrem', 'profession', 'onc', 'again', 'a', 'big', 'thank', 'you', 'from', 'the', 'bottom', 'of', 'our', 'heart']",1,5,0.0
"['dr', 'mohan', 'keshavamurthi', 'and', 'team', 'all', 'doctor', 'all', 'nurs', 'staff', 'especi', '6th', 'floor', 'staff', 'jeena', 'davi', 'nurs', 'supervisor', 'we', 'thank', 'each', 'and', 'everi', 'one', 'for', 'your', 'support']",1,4,0.0
"['alway', 'good']",1,5,0.7
"['dr', 'manisha', 'rajpal', 'singh', 'treat', 'for', 'laparoscopi', 'hysteroscopi', 'dilat', '', 'curettag', 'cervic', 'cauter', 'bilater', 'ovarian', 'endometrosi', 'excis', 'we', 'came', 'from', 'bangladesh', 'specif', 'to', 'consult', 'the', 'doctor']",1,4,0.0
"['doctor', 'is', 'veri', 'profession', 'care', 'dr', 'roopa', 'from', 'the', 'team', 'too', 'nurs', 'care', 'are', 'superb', 'hygien', 'by', 'support', 'team']",1,5,1.0
"['i', 'done', 'immigr', 'health', 'check', 'up', 'here', 'in', 'forti', 'hospit', 'bannargetta']",1,5,0.0
"['it', 'wa', 'amaz', 'experi', 'and', 'help', 'staff', 'especi', 'ms', 'poornima', '', 'ms', 'manjula', 'an', 'santhosh']",1,4,0.0
"['we', 'have', 'visit', 'the', 'hospit', 'for', 'knee', 'replac', 'for', 'my', 'mother', 'and', 'dr', 'narayan', 'huls', 'ha', 'treat', 'her', 'veri', 'well', 'and', 'explain', 'the', 'minut', 'detail', 'as', 'well']",1,5,0.0
"['onc', 'the', 'surgeri', 'is', 'complet', 'my', 'mother', 'ha', 'recov', 'well', 'and', 'thank', 'to', 'narayan', 'huls', 'and', 'team', 'who', 'treat', 'well', 'and', 'along', 'with', 'physiotherapi', 'nurs', 'and', 'hous', 'keep', 'depart']",1,5,0.0
"['excel', 'treatment', 'in', 'forti', 'bannergatta', 'dr', 'anil', 'kumar', 'kustagi', 'treatment', 'made', 'my', 'son', 'up', 'and', 'abov', 'nurs', 'staff', 'are', 'excel']",1,4,0.0
"['dr', 'mohan', 'keshavamurthi', 'oper', 'for', 'kidney', 'stone', 'with', 'laser', 'treatment', 'overal', 'treatment', 'servic', 'are', 'good', 'nurs', 'night', 'staff', 'wa', 'veri', 'care']",1,5,0.7
"['had', 'a', 'better', 'experi', 'in', 'the', 'treatment', 'of', 'my', 'mother', 'at', 'forti', 'hospit', 'by', 'dr', 'shashidhara']",1,5,0.5
"['feel', 'to', 'bow', 'to', 'dr', 'narayan', 'huls', 'he', 'is', 'such', 'a', 'great', 'doctor', 'i', 'am', 'relax', 'onc', 'i', 'heard', 'from', 'him', 'about', 'the', 'surgeri']",1,4,0.4
"['big', 'thank', 'to', 'dr', 'narayan', 'huls', 'nurs', 'mahalakshmi', 'shalini', 'nivetha', 'mani', 'more', 'attend', 'on', 'me', 'veri', 'care', 'physio', 'team', 'are', 'excel', 'in', 'their', 'work']",1,5,0.25
"['dr', 'mohan', 'keshavamurthi', 'ha', 'done', 'my', 'surgeri', 'nurs', 'includ', 'josena', 'parimala', 'they', 'are', 'veri', 'care']",1,4,0.0
"['the', 'care', 'and', 'hospit', 'offer', 'by', 'the', 'staff', 'from', 'all', 'the', 'depart', 'and', 'forti', 'as', 'a', 'whole', 'is', 'excel']",1,5,0.2
"['most', 'importantli', 'the', 'treat', 'doctor', 'mr', 'ravindra', 'bs', 'and', 'the', 'whole', 'gastroenterolog', 'depart', 'had', 'been', 'effect', 'in', 'diagnos', 'the', 'health', 'issu', 'appropri']",1,5,0.35
"['the', 'treatment', 'given', 'by', 'drravindra', 'and', 'team', 'ha', 'brought', 'a', 'lot', 'of', 'improv', 'in', 'my', 'health', 'and', 'abl', 'to', 'cope', 'with', 'my', 'life', 'as', 'a', 'veri', 'healthi', 'and', 'confid', 'person', 'thank', 'again', 'for', 'everyth', 'pleas', 'keep', 'up', 'the', 'good', 'work']",1,4,0.7
"['dr', 'shabeer', 'ahm', 'is', 'a', 'veri', 'good', 'doctor', 'he', 'explain', 'everyth', 'to', 'us', 'clearli', 'and', 'amaz', 'treatment', 'ha', 'been', 'provid']",1,5,0.7
"['my', 'husband', 'is', 'do', 'well', 'cabg', 'is', 'done', 'by', 'dr', 'vivek', 'jawali', '', 'team', 'dr', 'murali', 'manohar', 'dr', 'sudarshan', 'dr', 'nikhil']",1,4,0.0
"['happi', 'with', 'veri', 'good', 'servic', 'by', 'doctor', 'and', 'staff', 'icu', 'staff', 'are', 'excel', 'polina', 'prafulla', 'priya', 'toi', 'are', 'excel', 'big', 'thank', 'to', 'support', 'staff', 'as', 'well']",1,5,0.35
"['dr', 'ravindra', 'is', 'undoubtedli', 'an', 'amaz', 'doctor', 'the', 'effici', 'of', 'treatment', 'ha', 'help', 'to', 'cure', 'my', 'health', 'issu', 'nurs', 'are', 'also', 'provid', 'good', 'servic']",1,5,0.7
"['review', 'is', 'for', 'master', 'health', 'checkup']",0,1,0.0
"['poorli', 'manag', 'patient', 'flow']",0,2,0.0
"['they', 'book', 'more', 'appoint', 'than', 'capac']",0,2,0.5
"['my', 'wife', 'went', 'for', 'checkup', 'in', 'forti', 'and', 'my', 'friend', 'went', 'to', 'hiranandani', 'in', 'mumbai', 'start', 'same', 'time', 'at', '8', 'am', 'today', 'friend', 'finish', 'the', 'process', 'by', '1130', 'wife', 'finish', 'at', '4', 'pm', 'avoid', 'for', 'master', 'health', 'checkup']",0,1,0.0
"['excel', 'medic', 'facil', 'and', 'servic']",1,5,0.0
"['dr', 'ravindra', 'is', 'undoubtedli', 'an', 'amaz', 'doctor', 'the', 'effici', 'of', 'treatment', 'ha', 'help', 'to', 'cure', 'my', 'health', 'issu', 'nurs', 'are', 'also', 'provid', 'good', 'servic']",1,4,0.7
"['we', 'consult', 'drsudarshan', 'g', 't', 'they', 'treat', 'us', 'veri', 'well', 'we', 'are', 'happi', 'with', 'the', 'hospit', 'servic']",1,5,0.0
"['dr', 'vivek', 'belathur', 'is', 'a', 'veri', 'good', 'oncologist', 'happi', 'with', 'hi', 'treatment', 'kavitha', 'madam', 'is', 'veri', 'help', 'and', 'kind']",1,4,0.6499999999999999
"['happi', 'to', 'get', 'treat', 'by', 'dr', 'vivek', 'belathur', 'the', 'best', 'oncologist', 'in', 'bangalor', 'hi', 'care', 'to', 'hi', 'patient', 'is', 'wonder']",1,5,1.0
"['all', 'the', 'staff', 'afe', 'care', 'and', 'responsiblem', 'kavitha', 'is', 'an', 'amaz', 'pesrson', 'who', 'is', 'veri', 'help', 'in', 'everi', 'step', 'of', 'the', 'treatmentthank', 'to', 'forti']",1,5,0.0
"['i', 'have', 'been', 'visit', 'for', 'cancer', 'treatment', 'dr', 'suresh', 'babu', 'is', 'coordin', 'for', 'the', 'treatment', 'and', 'experi', 'with', 'the', 'doctor', 'and', 'hospit', 'ha', 'been', 'good']",1,5,0.7
"['nice', 'respons', 'from', 'doctor', 'and', 'staff', 'tq']",1,4,0.6
"['diagnosi', 'treatment', 'and', 'care', 'are', 'good']",1,4,0.7
"['hopeless', 'hospit', 'i', 'dont', 'know', 'how', 'they', 'have', 'got', 'jci', 'and', 'nabh', 'they', 'have', 'no', 'valu', 'for', 'patient', 'or', 'their', 'attend', 'time']",0,1,0.0
"['receptionist', 'onli', 'want', 'money', 'they', 'dont', 'care', 'if', 'the', 'doctor', 'is', '2', 'hr', 'late', 'but', 'give', 'them', 'money']",0,2,-0.3
"['i', 'went', 'for', 'my', 'father', 'he', 'ha', 'tracheostomi', 'n', 'all', 'issu', 'they', 'made', 'him', 'wait', 'for', '1', 'hour', 'n', 'said', 'wait', 'if', 'you', 'want', 'to', 'or', 'go']",0,1,0.0
"['i', 'wa', 'have', 'menopaus', 'relat', 'issu', 'and', 'went', 'to', 'see', 'a', 'gynecologist']",0,2,0.0
"['hey', 'kept', 'me', 'wait', 'until', '4pm', 'and', 'then', 'after', 'sever', 'request', 'they', 'let', 'me', 'see', 'her', 'it', 'wa', 'unfortun', 'for', 'me', 'to', 'have', 'gone', 'for', 'a', 'check', 'up', 'and', 'with', 'thi', 'rather', 'rude', 'and', 'veri', 'arrog', 'gynecologist']",0,1,-0.3
"['didnt', 'give', 'anesthesia', 'and', 'directli', 'stab', 'thi', 'is', 'the', 'right', 'word', 'my', 'vagina', 'it', 'happen', '8year', 'back']",0,1,0.14285714285714285
"['after', 'that', 'incid', 'i', 'lost', 'sensibl', 'in', 'that', 'part', 'i', 'could', 'have', 'left', 'the', 'hospit', 'without', 'see', 'her', 'if', 'the', 'hospit', 'had', 'not', 'collect', 'the', 'fee', 'in', 'advanc']",0,2,0.0
